"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[0-0-fibonacci_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci[0-0-fibonacci_naive]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci_endpoint[9-expected3-200]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_create_company_with_wrong_status_should_fail",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci[1-1-fibonacci_dynamic]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci[2-1-fibonacci_lru_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci[0-0-fibonacci_dynamic_v2]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","api.coronavstech.companies.tests","test_api","","","","test_logged_warning_level",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[2-1-fibonacci_dynamic]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[20-6765-fibonacci_dynamic]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[1-1-fibonacci_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[2-1-fibonacci_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_emails","","","","test_send_email_without_arguments_should_send_empty_email",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci_endpoint[1-expected1-200]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[0-0-fibonacci_lru_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci_endpoint[0-expected0-200]",""
"skipped","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","api.coronavstech.companies.tests","test_api","","","","test_should_be_skipped",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[2-1-fibonacci_dynamic_v2]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[2-1-fibonacci_naive]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[1-1-fibonacci_dynamic_v2]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_create_company_with_layoffs_status_should_succeed",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_multiple_companies_exists_should_succeed[Zuckerberg Companies]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[20-6765-fibonacci_dynamic_v2]",""
"skipped","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","api.coronavstech.companies.tests","test_api","","","","test_should_be_ok_if_fails",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","6","api.coronavstech.companies.tests","test_api","","","","test_zero_companies_should_return_empty_list",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","api.coronavstech.companies.tests","test_emails","","","","test_send_email_with_get_verb_should_fail",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_create_company_with_only_name_all_fields_should_be_default",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","3","fibonacci.tests","test_fibonacci","","","","test_fibonacci[20-6765-fibonacci_naive]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci[1-1-fibonacci_naive]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_fibonacci","","","","test_fibonacci[1-1-fibonacci_lru_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci[20-6765-fibonacci_cached]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_multiple_companies_exists_should_succeed[3 T Companies]",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","0","fibonacci.tests","test_performance","","","","test_performance",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_create_existing_company_should_fail",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_api","","","","test_one_company_exists_should_succeed",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","api.coronavstech.companies.tests","test_api","","","","test_raise_covid19_exception_should_pass",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","2","api.coronavstech.companies.tests","test_emails","","","","test_send_email_should_succeed",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","api.coronavstech.companies.tests","test_api","","","","test_logged_info_level",""
"passed","Thu Apr 17 21:41:03 GMT 2025","Thu Apr 17 21:41:03 GMT 2025","1","fibonacci.tests","test_fibonacci","","","","test_fibonacci_endpoint[2-expected2-200]",""
